"obsno" "papno" "treat"   "level" "n.amb" "mean.amb"  "sd.amb" "n.elev" "mean.elev" "sd.elev"
   721    2217   "none"        ""       5     10.578      1.21        5      16.959     2.186
   725    2223   "fert"     "low"       6       2.24    0.3919        6         2.4    0.5634
   726    2223  "light"     "low"       6      10.96    1.9351        6       16.98    1.9596
   727    2223 "fert+l"        ""       6       19.5    2.2535        6       28.18    3.2333
   731    2223   "fert"     "low"       6       2.04    0.3674        6        3.09    0.7348
   732    2223  "light"     "low"       6       4.36     2.474        6        13.8     2.425
   733    2223 "fert+l"        ""       6      14.79    3.5028        6        18.2    3.1843
   737    2223   "fert"     "low"       6       1.51    0.1715        6         1.9    0.1225
   738    2223  "light"     "low"       6       5.89    1.3962        6       10.23    0.6124
   739    2223 "fert+l"        ""       6       13.8    1.5922        6       16.59    2.9149
   743    2223   "fert"     "low"       6       2.24    0.3919        6        2.34    0.2694
   744    2223  "light"     "low"       6      11.48    2.0086        6       16.22    2.8414
   745    2223 "fert+l"        ""       6      19.95    2.3025        6       24.55    1.3962
   749    2223   "fert"     "low"       6       2.14    0.4899        6        1.51    0.1715
   750    2223  "light"     "low"       6       5.49    1.3227        6        9.12    1.5922
   751    2223 "fert+l"        ""       6      13.49    0.7593        6       18.62    2.1556
   755    2223   "fert"     "low"       6       1.48    0.1715        6         1.9    0.2205
   756    2223  "light"     "low"       6       8.71    1.5187        6       14.45    1.6657
   757    2223 "fert+l"        ""       6      16.59    0.9553        6       16.98    0.5389
   765    2224   "none"        ""       3        7.2    2.5981        3        16.9    1.7321
   774    2224   "none"        ""       3        4.6    1.7321        3         7.2    1.7321
   783    2224   "none"        ""       3       69.7    3.6373        3       102.6    6.2354
